price,bedrooms,propertySubType,address,location,url,formattedBranchName,addedOrReduced,firstVisibleDate,displaySize,productLabel,groupedAgent
300000,1,Flat,"Dod Street, London","https://www.google.com/maps/search/?api=1&query=51.51339,-0.02723",https://www.rightmove.co.uk/properties/146222684,"Barnard Marcus, Covent Garden",Added on 27/03/2024,2024-03-27T18:39:34Z,,Premium Listing,Barnard
300000,1,Flat,"St Stephens Road, Bow, London, E3","https://www.google.com/maps/search/?api=1&query=51.532716,-0.033965",https://www.rightmove.co.uk/properties/150557957,"Foxtons, Bow",Added yesterday,2024-07-23T15:44:04Z,333 sq. ft.,,Foxtons
300000,1,Flat,"Keats Close, Bermondsey, London, SE1","https://www.google.com/maps/search/?api=1&query=51.490474,-0.075782",https://www.rightmove.co.uk/properties/148391078,"Foxtons, London Bridge",Reduced on 22/07/2024,2024-05-24T15:17:45Z,395 sq. ft.,,Foxtons
300000,1,Flat,"Mile End Road, Mile End, London, E1","https://www.google.com/maps/search/?api=1&query=51.520969,-0.048812",https://www.rightmove.co.uk/properties/149095274,"Foxtons, Shoreditch",Reduced on 22/07/2024,2024-06-13T15:30:25Z,500 sq. ft.,,Foxtons
240000,1,Flat,"16 Altius Apartments, 714 Wick Lane, London, E3 2PZ","https://www.google.com/maps/search/?api=1&query=51.533541,-0.023073",https://www.rightmove.co.uk/properties/150387353,"BidX1, London",Added on 18/07/2024,2024-07-18T12:31:09Z,,,BidX1
295000,1,Apartment,"Marden Square, London","https://www.google.com/maps/search/?api=1&query=51.495079,-0.061112",https://www.rightmove.co.uk/properties/150187388,"Good Move, Leeds",Reduced on 18/07/2024,2024-07-12T13:51:11Z,539 sq. ft.,,Good
280000,1,Flat,"Stepney Way, London, E1","https://www.google.com/maps/search/?api=1&query=51.516768,-0.050638",https://www.rightmove.co.uk/properties/146625269,"Felicity J Lord, Wapping",Reduced on 18/07/2024,2024-04-09T17:02:49Z,,No Chain,Felicity
240000,1,Flat,"Wick Lane, Mile End, London, E3","https://www.google.com/maps/search/?api=1&query=51.533218,-0.022652",https://www.rightmove.co.uk/properties/147183449,"Foxtons, Bow",Reduced on 17/07/2024,2024-04-23T19:03:26Z,559 sq. ft.,,Foxtons
300000,1,Flat,"De Beauvoir Estate, Islington, N1","https://www.google.com/maps/search/?api=1&query=51.537768,-0.083214",https://www.rightmove.co.uk/properties/150341297,"Felicity J Lord, Islington",Added on 17/07/2024,2024-07-17T13:04:36Z,581 sq. ft.,No Chain,Felicity
300000,1,Flat,"Kirkby Apartments, 1B Baythorne Street, Bow, London, E3","https://www.google.com/maps/search/?api=1&query=51.517902,-0.027672",https://www.rightmove.co.uk/properties/148264577,"Keatons, Bow",Reduced on 17/07/2024,2024-05-22T09:31:14Z,516 sq. ft.,,Keatons
270000,1,Flat,"Tarling Street, Tower Hamlets, London, E1","https://www.google.com/maps/search/?api=1&query=51.512315,-0.054528",https://www.rightmove.co.uk/properties/148575083,"Foxtons, Shoreditch",Reduced on 16/07/2024,2024-05-31T01:25:57Z,511 sq. ft.,,Foxtons
300000,1,Flat,"Flat 5, Shire House,, Capulet Square,, Bromley-By-Bow,, E3","https://www.google.com/maps/search/?api=1&query=51.525223,-0.011849",https://www.rightmove.co.uk/properties/150301400,"Daniel Rose Residential Ltd, London",Added on 16/07/2024,2024-07-16T14:25:37Z,424 sq. ft.,,Daniel
250000,1,Apartment,"Mansford Street, London, E2","https://www.google.com/maps/search/?api=1&query=51.527928,-0.062431",https://www.rightmove.co.uk/properties/150291140,"Stirling Ackroyd Sales, Shoreditch",Added on 16/07/2024,2024-07-16T12:20:18Z,627 sq. ft.,,Stirling
290000,1,Flat,"Weymouth Terrace, Haggerston, London, E2","https://www.google.com/maps/search/?api=1&query=51.533044,-0.072043",https://www.rightmove.co.uk/properties/149631176,"Keatons, Shoreditch",Reduced on 16/07/2024,2024-06-27T15:28:15Z,389 sq. ft.,Premium Listing,Keatons
290000,1,Apartment,"Weymouth Terrace, London","https://www.google.com/maps/search/?api=1&query=51.5331,-0.072122",https://www.rightmove.co.uk/properties/148404257,"The Stow Brothers, Hackney",Added on 24/05/2024,2024-05-24T17:44:40Z,442 sq. ft.,,The
300000,1,Apartment,"Wharfside Point South, 4 Prestons Road, Canary Wharf, London, E14","https://www.google.com/maps/search/?api=1&query=51.508133,-0.009095",https://www.rightmove.co.uk/properties/149157797,"Life Residential, Royal Wharf - Sales",Reduced on 15/07/2024,2024-06-14T15:44:50Z,470 sq. ft.,,Life
275000,1,Flat,"Mile End Road, LONDON","https://www.google.com/maps/search/?api=1&query=51.52129,-0.04793",https://www.rightmove.co.uk/properties/150269795,"Felicity J Lord, Bow",Added on 15/07/2024,2024-07-15T18:09:52Z,,Premium Listing,Felicity
285000,1,Flat,"Hughes Mansions, Vallance Road, Whitechapel, London, E1","https://www.google.com/maps/search/?api=1&query=51.521623,-0.063541",https://www.rightmove.co.uk/properties/148935125,"Keatons, Shoreditch",Reduced on 15/07/2024,2024-06-10T09:02:27Z,461 sq. ft.,,Keatons
290000,1,Apartment,"Heathfield Court, Tredegar Road, London, E3","https://www.google.com/maps/search/?api=1&query=51.5319,-0.02585",https://www.rightmove.co.uk/properties/150206240,"National Residential, Nationwide",Added on 15/07/2024,2024-07-15T11:23:21Z,,,National
300000,1,Flat,"Bow Quarter Development, Bow","https://www.google.com/maps/search/?api=1&query=51.530494,-0.021763",https://www.rightmove.co.uk/properties/144470081,"Butler & Stag, London",Reduced on 13/07/2024,2024-02-07T15:19:26Z,422 sq. ft.,Parking,Butler
270000,2,Maisonette,"Flat 36, Storey House, Cottage Street, Poplar, London, E14","https://www.google.com/maps/search/?api=1&query=51.510349,-0.014297",https://www.rightmove.co.uk/properties/150395882,"Allsop, Auction",Added on 12/07/2024,2024-07-18T14:18:23Z,,,Allsop
280000,1,Flat,"Old Ford Road, London, E2","https://www.google.com/maps/search/?api=1&query=51.530125,-0.05398",https://www.rightmove.co.uk/properties/150200756,"Yopa, South East & London",Reduced on 12/07/2024,2024-07-12T16:57:02Z,,Premium Listing,Yopa
300000,1,Flat,"Ming Street, Docklands, London, E14","https://www.google.com/maps/search/?api=1&query=51.508776,-0.02197",https://www.rightmove.co.uk/properties/149133272,"Foxtons, Canary Wharf",Reduced on 12/07/2024,2024-06-14T11:05:46Z,524 sq. ft.,,Foxtons
300000,1,Apartment,"Alboran Apartments, Caspian Wharf, E3 3GU","https://www.google.com/maps/search/?api=1&query=51.51947,-0.016832",https://www.rightmove.co.uk/properties/147756884,"eXp UK, London",Reduced on 11/07/2024,2024-05-08T17:33:56Z,,,eXp
300000,1,Flat,"Buxton Street, London, E1","https://www.google.com/maps/search/?api=1&query=51.521653,-0.069483",https://www.rightmove.co.uk/properties/145748345,"Express Estate Agency, Nationwide",Reduced on 10/07/2024,2024-03-14T16:44:31Z,,,Express
300000,1,Flat,"Seven Sea Gardens, Bow, London, E3","https://www.google.com/maps/search/?api=1&query=51.519382,-0.016753",https://www.rightmove.co.uk/properties/146008823,"Foxtons, Shoreditch",Reduced on 10/07/2024,2024-03-21T15:25:07Z,498 sq. ft.,,Foxtons
300000,1,Flat,"Morecambe Close, Beaumont Square, Stepney, London, E1","https://www.google.com/maps/search/?api=1&query=51.519549,-0.046653",https://www.rightmove.co.uk/properties/137675498,"Foxtons, Shoreditch",Reduced on 09/07/2024,2023-07-20T19:47:32Z,619 sq. ft.,,Foxtons
292500,3,Flat,"Walpole Lodge, London - SHARED OWNERSHIP","https://www.google.com/maps/search/?api=1&query=51.507217,-0.127586",https://www.rightmove.co.uk/properties/147986984,"James Anderson, Putney - Sales",Reduced on 09/07/2024,2024-05-14T17:01:35Z,,,James
280000,1,Apartment,"Sage Street, London, E1","https://www.google.com/maps/search/?api=1&query=51.510216,-0.054906",https://www.rightmove.co.uk/properties/150029573,"Purplebricks, covering East London",Added on 08/07/2024,2024-07-08T23:00:40Z,,Premium Listing,Purplebricks
260000,1,Apartment,"St. James Street, Walthamstow","https://www.google.com/maps/search/?api=1&query=51.507631,-0.140149",https://www.rightmove.co.uk/properties/150010871,"Lloyds Residential, Woodford Green",Added on 08/07/2024,2024-07-08T16:59:10Z,,,Lloyds
300000,1,Flat,"New Kent Road, Newington, London, SE1","https://www.google.com/maps/search/?api=1&query=51.495022,-0.097687",https://www.rightmove.co.uk/properties/149918378,"Foxtons, Elephant & Castle",Added on 05/07/2024,2024-07-05T16:44:32Z,500 sq. ft.,,Foxtons
300000,1,Apartment,"Clyde Square, London","https://www.google.com/maps/search/?api=1&query=51.513941,-0.02656",https://www.rightmove.co.uk/properties/149908301,"Portico, Ilford",Reduced on 05/07/2024,2024-07-05T14:30:50Z,,Premium Listing,Portico
300000,1,Flat,"Severn Court, Clyde Square, London, E14","https://www.google.com/maps/search/?api=1&query=51.513996,-0.026554",https://www.rightmove.co.uk/properties/147033884,"Maybury Estates, Barking",Reduced on 05/07/2024,2024-04-19T14:57:34Z,,,Maybury
275000,1,Apartment,"Thorn Apartments, Geoff Cade Way, London, E3","https://www.google.com/maps/search/?api=1&query=51.518198,-0.026624",https://www.rightmove.co.uk/properties/145042997,"Felicity J Lord, Bow",Reduced on 04/07/2024,2024-02-23T11:46:24Z,,No Chain,Felicity
255000,2,Flat,"Chiltern Road, London, E3","https://www.google.com/maps/search/?api=1&query=51.52201,-0.0208",https://www.rightmove.co.uk/properties/149433539,"Let Property Sales & Management, Glasgow",Reduced on 04/07/2024,2024-06-21T12:20:16Z,,,Let
300000,1,Flat,"Talwin Street, Mile End, London, E3","https://www.google.com/maps/search/?api=1&query=51.524822,-0.014773",https://www.rightmove.co.uk/properties/149524253,"Foxtons, Bow",Reduced on 02/07/2024,2024-06-24T19:07:11Z,514 sq. ft.,,Foxtons
300000,1,Flat,"Tomlins Grove, London, E3","https://www.google.com/maps/search/?api=1&query=51.526398,-0.021644",https://www.rightmove.co.uk/properties/147635768,"Felicity J Lord, Bow",Reduced on 01/07/2024,2024-05-04T13:37:21Z,,No Chain,Felicity
295000,2,Apartment,"Wades Place, London, E14","https://www.google.com/maps/search/?api=1&query=51.50978,-0.018666",https://www.rightmove.co.uk/properties/149696084,"Ellis & Co, Bethnal Green",Added on 29/06/2024,2024-06-29T10:18:54Z,543 sq. ft.,Premium Listing,Ellis
300000,1,Flat,"Newton House, Cornwall Street, Shadwell, London, E1","https://www.google.com/maps/search/?api=1&query=51.511423,-0.059686",https://www.rightmove.co.uk/properties/149633705,"Keatons, Shoreditch",Added on 27/06/2024,2024-06-27T16:04:20Z,535 sq. ft.,,Keatons
299999,1,Apartment,"George Loveless House, Diss Street, Shoreditch, E2","https://www.google.com/maps/search/?api=1&query=51.529098,-0.073902",https://www.rightmove.co.uk/properties/149538944,"Peach Properties, London",Added on 25/06/2024,2024-06-25T10:41:30Z,459 sq. ft.,,Peach
241500,1,Flat,"Blackfriars Road, Southwark","https://www.google.com/maps/search/?api=1&query=51.499793,-0.104461",https://www.rightmove.co.uk/properties/148213889,"Dexters, London Bridge",Reduced on 24/06/2024,2024-05-21T09:13:22Z,,,Dexters
241500,1,Flat,"Blackfriars Road, Southwark","https://www.google.com/maps/search/?api=1&query=51.499793,-0.104461",https://www.rightmove.co.uk/properties/149245880,"Waterview, Waterview Shad Thames",Reduced on 24/06/2024,2024-06-17T14:14:52Z,,,Waterview
295000,1,Apartment,"Midhurst House, Salmon Lane, E14","https://www.google.com/maps/search/?api=1&query=51.514169,-0.033522",https://www.rightmove.co.uk/properties/149441168,"Ernest Brooks International, Canary Wharf",Added on 21/06/2024,2024-06-21T14:19:14Z,,,Ernest
300000,1,Apartment,"Talwin Street, Bromley-By-Bow, London, E3","https://www.google.com/maps/search/?api=1&query=51.52546,-0.01243",https://www.rightmove.co.uk/properties/149396519,"Chase Evans, Canary Wharf",Added on 20/06/2024,2024-06-20T12:58:43Z,,,Chase
280000,1,Apartment,"St Michaels Court, St Leonards Road, Poplar, E14","https://www.google.com/maps/search/?api=1&query=51.51637,-0.01168",https://www.rightmove.co.uk/properties/149335199,"Chase Evans, Canary Wharf",Added on 19/06/2024,2024-06-19T09:09:44Z,,,Chase
300000,2,Maisonette,"66 Kerbey Street, London, E14 6AW","https://www.google.com/maps/search/?api=1&query=51.513401,-0.016138",https://www.rightmove.co.uk/properties/149317367,"BidX1, London",Added on 18/06/2024,2024-06-18T16:02:40Z,,,BidX1
